,City,State,City_State,Latitude,Longitude
97, Guthrie,OK," Guthrie, OK",35.878937,-97.42531849999999
98, Martin,TN," Martin, TN",36.3433965,-88.8503379
99, Cameron,MO," Cameron, MO",39.7402801,-94.241057
100, Winter Garden,FL," Winter Garden, FL",28.5652787,-81.58618469999999
101, Chickasha,OK," Chickasha, OK",35.052565,-97.93643259999999
102, Chanute,KS," Chanute, KS",37.6792135,-95.4572034
103, Booneville,MS," Booneville, MS",34.6581596,-88.5667036
104, Starkville,MS," Starkville, MS",33.4503998,-88.81838719999999
105, Carthage,MO," Carthage, MO",37.176447,-94.31022279999999
106, Vivian,LA," Vivian, LA",32.8715278,-93.9874032
107, Batesville,AR," Batesville, AR",35.769799,-91.6409721
108, Joplin,MO," Joplin, MO",37.08422710000001,-94.51328099999999
109, West Point,MS," West Point, MS",33.6076186,-88.6503254
110, Broken Bow,OK," Broken Bow, OK",34.0292764,-94.7391045
111, Little Rock,AR," Little Rock, AR",34.7464809,-92.28959479999999
112, Okmulgee,OK," Okmulgee, OK",35.6266957,-95.9515399
113, Fort Smith,AR," Fort Smith, AR",35.3859242,-94.39854749999999
114, Jackson,MO," Jackson, MO",37.3822732,-89.6662063
115, Malvern,AR," Malvern, AR",34.3623149,-92.81294620000001
116, Little Rock,AR," Little Rock, AR",34.7464809,-92.28959479999999
117, Ardmore,OK," Ardmore, OK",34.1742611,-97.14362539999999
118, Amory,MS," Amory, MS",33.9842768,-88.48809899999999
119, Jonesboro,AR," Jonesboro, AR",35.84229670000001,-90.704279
120, Humboldt,TN," Humboldt, TN",35.8197917,-88.9158953
121, Seminole,OK," Seminole, OK",35.2245201,-96.67057299999999
122, Ashdown,AR," Ashdown, AR",33.6742867,-94.1313054
123, Mount Pleasant,TX," Mount Pleasant, TX",33.1567863,-94.96826899999999
124, Kingfisher,OK," Kingfisher, OK",35.861432,-97.9317203
125, Elk City,OK," Elk City, OK",35.4119944,-99.4042592
126, Chillicothe,MO," Chillicothe, MO",39.7952946,-93.5524358
127, Stillwater,OK," Stillwater, OK",36.1156071,-97.0583681
128, Purcell,OK," Purcell, OK",35.0136831,-97.3611394
129, Lufkin,TX," Lufkin, TX",31.3382406,-94.729097
130, Fort Smith,AR," Fort Smith, AR",35.3859242,-94.39854749999999
131, Blackwell,OK," Blackwell, OK",36.8044767,-97.2828207
132, Benton,KY," Benton, KY",36.85727809999999,-88.350315
133, Bowling Green,MO," Bowling Green, MO",39.3419891,-91.1951437
134, Fayetteville,AR," Fayetteville, AR",36.082156,-94.17185420000001
135, Jonesboro,LA," Jonesboro, LA",32.2412672,-92.7159853
136, Mena,AR," Mena, AR",34.5862171,-94.23965539999999
137, Denison,TX," Denison, TX",33.7556593,-96.53665799999999
138, Springfield,MO," Springfield, MO",37.2089572,-93.29229889999999
139, Mcalester,OK," Mcalester, OK",34.9334298,-95.76971309999999
140, Woodward,OK," Woodward, OK",36.413792,-99.3673084
141, New Albany,MS," New Albany, MS",34.4942683,-89.0078418
142, Abingdon,VA," Abingdon, VA",36.70983349999999,-81.9773482
143, Aurora,MO," Aurora, MO",36.970891,-93.717979
144, De Soto,MO," De Soto, MO",38.1394978,-90.5551258
145, Bonham,TX," Bonham, TX",33.5773275,-96.1783111
