,Store Number,Store Type,Address,City,State,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
385,414,Walmart Supercenter, 5131 Greenbriar Rd, Wichita Falls,TX,76302,13725,32.3,45709,22844,3093,22.53551913
386,418,Walmart Supercenter, 2831 Highway 15, Fairbury,NE,68352,4980,45.1,42500,24401,531,10.6626506
387,371,Walmart Supercenter, 735 E Highway 377, Granbury,TX,76048,23702,43.2,48607,27531,3833,16.17163109
388,370,Walmart Supercenter, 2022 E 16Th St, Wellington,KS,67152,9127,39.1,45179,23465,1265,13.8599759
389,417,Walmart Supercenter, 1750 S Broadway St, Sulphur Springs,TX,75482,24802,37.9,45180,24181,4789,19.3089267
390,420,Walmart Supercenter, 2700 Central Fwy, Wichita Falls,TX,76306,15099,35.6,42896,20823,3482,23.06112988
391,421,Walmart Supercenter, 800 S Us Hwy 81/287, Decatur,TX,76234,15341,38.6,61645,31088,2237,14.58183952
392,422,Walmart Supercenter, 1304 E Main St, Robinson,IL,62454,11164,41.6,47566,25755,1140,10.21139377
393,391,Walmart Supercenter, 2270 W Main St, Tupelo,MS,38801,29524,35.9,44120,23233,5714,19.3537461
394,423,Walmart Supercenter, 630 Colonial Promenade Pkwy, Alabaster,AL,35007,26215,36.7,69691,26498,3349,12.77512874
395,424,Walmart Supercenter, 1415 7Th St S, Clanton,AL,35045,14893,40.4,45857,26333,2829,18.99550124
396,425,Walmart Supercenter, 10675 Highway 5, Brent,AL,35034,5277,35,35625,9677,467,8.849725223
397,427,Walmart Supercenter, 7401 Interstate Highway 30, Greenville,TX,75402,16931,40.2,65026,31105,2273,13.42507826
398,428,Walmart Supercenter, 5801 Main St, Zachary,LA,70791,26685,35.9,72631,29733,2409,9.027543564
399,429,Walmart Supercenter, 1724 W University Dr, Edinburg,TX,78539,34991,30.6,55507,23504,7231,20.66531394
400,431,Walmart Supercenter, 3220 Irvin Cobb Dr, Paducah,KY,42003,28569,42,37378,23406,5190,18.16654416
401,432,Walmart Supercenter, 214 Haynes St, Talladega,AL,35160,26197,42.3,33757,19979,5158,19.6892774
402,401,Walmart Supercenter, 59690 Belleview Dr, Plaquemine,LA,70764,16143,37.5,45968,23005,3112,19.27770551
403,433,Walmart Supercenter, 2200 Sparkman Dr Nw, Huntsville,AL,35810,29749,37.3,37482,19993,6188,20.80069918
404,434,Walmart Supercenter, 11610 Memorial Pkwy Sw, Huntsville,AL,35803,26096,46.3,73020,38997,1971,7.552881668
405,435,Walmart Supercenter, 12495 State Route 143, Highland,IL,62249,15520,40.4,62677,33239,1799,11.59149485
406,436,Walmart Supercenter, 2591 12Th St, Carlyle,IL,62231,7397,42.1,56364,28252,829,11.20724618
407,426,Walmart Supercenter, 4691 State Highway 121, Colony,TX,75056,57115,34.2,83141,43487,3563,6.238291167
408,438,Walmart Supercenter, 3800 W Walker St, Breckenridge,TX,76424,8794,38.4,44254,21610,1820,20.69592904
409,437,Walmart Supercenter, 310 Overcreek Way, Sealy,TX,77474,12993,37.6,63152,28144,2009,15.46217194
410,440,Walmart Supercenter, 2401 Highway 35 N, Rockport,TX,78382,21537,50.4,47039,30237,3555,16.50647723
411,442,Walmart Supercenter, 1133 E Gen'L Cavazos, Kingsville,TX,78363,29963,27.5,41076,19624,6876,22.94830291
412,406,Walmart Supercenter, 570 Enon Springs Rd E, Smyrna,TN,37167,57611,35.4,62099,26219,6680,11.5950079
413,443,Walmart Supercenter, 109 22Nd St, Hondo,TX,78861,13782,34.1,56131,21647,1199,8.699753301
414,444,Walmart Supercenter, 3315 S Campbell Ave, Springfield,MO,65807,58008,31.8,38862,22075,11838,20.40753
415,446,Walmart, 1620 E Main St, Madisonville,TX,77864,6935,44.2,42609,22019,1156,16.66906994
416,445,Walmart Supercenter, 1801 Elizabethtown Rd, Leitchfield,KY,42754,15371,39.7,33458,19508,4325,28.1374016
417,447,Walmart Supercenter, 2410 Dodson Ave, Del Rio,TX,78840,48317,31.9,44659,20152,9731,20.13990935
418,450,Walmart Supercenter, 9550 Mansfield Rd, Shreveport,LA,71118,25750,36.9,44889,23967,4039,15.68543689
419,449,Walmart Supercenter, 4999 N Twin City Hwy, Port Arthur,TX,77642,38845,31.9,32266,17846,12156,31.29360278
420,452,Walmart Supercenter, 2800 W Nolana Ave, Mcallen,TX,78504,53665,32.3,63158,26969,9818,18.2949781
421,430,Walmart Supercenter, 1225 Paris Rd, Mayfield,KY,42066,23671,40.2,37423,20469,4844,20.46385873
422,448,Walmart Supercenter, 6235 W Port Ave, Shreveport,LA,71129,12296,35.9,36086,24079,2065,16.79407938
423,454,Walmart Supercenter, 150 Commerce Drive, Fairfield,IL,62837,8728,44.9,44883,26081,1513,17.33501375
424,451,Walmart Supercenter, 1201 Grindstone Pkwy, Columbia,MO,65201,44222,22.8,35396,20511,14132,31.95694451
425,415,Walmart Supercenter, 123 Saint Nazaire Rd, Broussard,LA,70518,14137,37.9,72758,36845,1256,8.884487515
426,458,Walmart Supercenter, 2501 W Wheeler Ave, Aransas Pass,TX,78336,11828,38.7,40759,24909,2293,19.38620223
427,459,Walmart Supercenter, 10300 Industrial Blvd Ne, Covington,GA,30014,37359,36.1,46718,23750,7294,19.5240772
428,456,Walmart Supercenter, 3500 W Alton Gloor Blvd, Brownsville,TX,78520,62804,31.1,32612,14971,20007,31.85625119
